rd,tz=0,v=1.5
time,radon_B,rd_particle_B,radon_pCi,rd_particle_pCi
1681698000,1.538e+01,6.501e+00,4.158e-01,1.757e-01
1681698600,1.083e+01,4.001e+00,2.928e-01,1.081e-01
1681699200,6.506e+00,1.300e+01,1.758e-01,3.514e-01
1681699800,1.773e+01,1.000e+00,4.791e-01,2.705e-02
1681700400,2.726e+01,2.500e+00,7.368e-01,6.758e-02
1681701000,1.507e+01,1.148e+01,4.074e-01,3.103e-01
1681701600,1.089e+01,2.500e+00,2.943e-01,6.758e-02
1681702200,1.742e+01,1.100e+01,4.708e-01,2.973e-01
1681702800,1.302e+01,4.001e+00,3.518e-01,1.081e-01
1681703400,2.215e+01,1.000e+00,5.987e-01,2.705e-02
1681704000,1.721e+01,1.200e+01,4.651e-01,3.244e-01
1681704600,1.089e+01,1.000e+01,2.942e-01,2.703e-01
1681705200,8.641e+00,1.000e+01,2.335e-01,2.703e-01
1681705800,1.528e+01,3.500e+00,4.130e-01,9.461e-02
1681706400,1.972e+01,2.050e+01,5.331e-01,5.541e-01
1681707000,2.698e+01,5.501e+00,7.293e-01,1.487e-01
1681707600,3.169e+01,2.000e+01,8.564e-01,5.406e-01
1681708200,2.907e+01,2.500e+00,7.857e-01,6.758e-02
1681708800,1.956e+01,1.350e+01,5.286e-01,3.649e-01
1681709400,2.423e+01,9.501e+00,6.550e-01,2.568e-01
1681710000,6.396e+01,1.500e+01,1.729e+00,4.055e-01
1681710600,4.567e+01,2.100e+01,1.234e+00,5.676e-01
1681711200,1.273e+01,1.000e+01,3.442e-01,2.703e-01
1681711800,5.174e+01,5.501e+00,1.398e+00,1.487e-01
1681712400,1.697e+01,7.001e+00,4.586e-01,1.892e-01
1681713000,2.381e+01,2.750e+01,6.435e-01,7.434e-01
1681713600,2.851e+01,1.000e+00,7.705e-01,2.705e-02
1681714200,2.598e+01,2.600e+01,7.022e-01,7.028e-01
1681714800,2.622e+01,5.501e+00,7.087e-01,1.487e-01
1681715400,1.383e+01,4.001e+00,3.737e-01,1.081e-01
1681716000,1.283e+01,1.650e+01,3.467e-01,4.460e-01
1681716600,2.888e+01,1.398e+01,7.805e-01,3.778e-01
1681717200,1.946e+01,9.001e+00,5.258e-01,2.433e-01
1681717800,1.944e+01,1.200e+01,5.254e-01,3.244e-01
1681718400,6.506e+00,6.001e+00,1.758e-01,1.622e-01
1681719000,1.975e+01,1.000e+00,5.338e-01,2.705e-02
1681719600,1.514e+01,2.750e+01,4.093e-01,7.434e-01
1681720200,1.271e+01,1.000e+00,3.434e-01,2.705e-02
1681720800,1.973e+01,1.200e+01,5.333e-01,3.244e-01
1681721400,8.574e+00,1.400e+01,2.317e-01,3.784e-01
1681722000,2.942e+01,2.500e+00,7.952e-01,6.758e-02
1681722600,2.426e+01,2.100e+01,6.556e-01,5.676e-01
1681723200,1.949e+01,1.050e+01,5.269e-01,2.838e-01
1681723800,2.663e+01,1.200e+01,7.197e-01,3.244e-01
1681724400,1.086e+01,2.200e+01,2.936e-01,5.947e-01
1681725000,2.438e+01,6.501e+00,6.588e-01,1.757e-01
1681725600,2.909e+01,1.400e+01,7.861e-01,3.784e-01
1681726200,3.635e+01,8.501e+00,9.824e-01,2.298e-01
1681726800,4.374e+01,2.500e+01,1.182e+00,6.758e-01
1681727400,3.300e+01,2.500e+01,8.920e-01,6.758e-01
1681728000,3.047e+01,8.501e+00,8.236e-01,2.298e-01
1681728600,5.564e+01,2.300e+01,1.504e+00,6.217e-01
1681729200,4.781e+01,1.200e+01,1.292e+00,3.244e-01
1681729800,2.583e+01,1.950e+01,6.981e-01,5.271e-01
1681730400,2.317e+01,6.501e+00,6.263e-01,1.757e-01
1681731000,1.694e+01,2.250e+01,4.580e-01,6.082e-01
1681731600,3.820e+01,7.987e+00,1.032e+00,2.159e-01
1681732200,3.061e+01,7.501e+00,8.273e-01,2.027e-01
1681732800,1.496e+01,1.450e+01,4.043e-01,3.920e-01
1681733400,1.914e+01,1.600e+01,5.174e-01,4.325e-01
1681734000,1.066e+01,2.200e+01,2.881e-01,5.947e-01
1681734600,3.105e+01,1.050e+01,8.392e-01,2.838e-01
1681735200,4.905e+01,1.000e+00,1.326e+00,2.705e-02
1681735800,4.018e+01,1.800e+01,1.086e+00,4.866e-01
1681736400,2.362e+01,1.950e+01,6.385e-01,5.271e-01
1681737000,2.375e+01,6.001e+00,6.419e-01,1.622e-01
1681737600,1.489e+01,8.001e+00,4.025e-01,2.162e-01
1681738200,1.942e+01,1.850e+01,5.247e-01,5.001e-01
1681738800,2.868e+01,4.001e+00,7.752e-01,1.081e-01
1681739400,1.481e+01,1.100e+01,4.004e-01,2.973e-01
1681740000,1.285e+01,1.600e+01,3.472e-01,4.325e-01
1681740600,1.511e+01,1.100e+01,4.084e-01,2.973e-01
1681741200,1.742e+01,7.501e+00,4.709e-01,2.027e-01
1681741800,6.441e+00,9.001e+00,1.741e-01,2.433e-01
1681742400,1.507e+01,1.000e+00,4.074e-01,2.705e-02
1681743000,1.520e+01,1.950e+01,4.109e-01,5.271e-01
1681743600,1.082e+01,1.500e+01,2.924e-01,4.055e-01
1681744200,2.946e+01,1.000e+00,7.962e-01,2.705e-02
1681744800,1.516e+01,1.450e+01,4.098e-01,3.919e-01
1681745400,1.973e+01,1.600e+01,5.334e-01,4.325e-01
1681746000,4.240e+00,4.001e+00,1.146e-01,1.081e-01
1681746600,8.626e+00,8.487e+00,2.331e-01,2.294e-01
1681747200,1.527e+01,1.700e+01,4.128e-01,4.595e-01
1681747800,1.978e+01,7.501e+00,5.347e-01,2.027e-01
1681748400,8.706e+00,1.000e+00,2.353e-01,2.705e-02
1681749000,1.763e+01,6.501e+00,4.764e-01,1.757e-01
1681749600,2.702e+01,1.700e+01,7.302e-01,4.595e-01
1681750200,1.707e+01,3.501e+00,4.612e-01,9.461e-02
1681750800,6.440e+00,6.501e+00,1.741e-01,1.757e-01
1681751400,1.070e+01,8.501e+00,2.891e-01,2.298e-01
1681752000,1.980e+01,3.000e+00,5.352e-01,8.109e-02
1681752600,6.440e+00,8.501e+00,1.741e-01,2.298e-01
1681753200,1.083e+01,9.001e+00,2.927e-01,2.433e-01
1681753800,1.090e+01,1.000e+01,2.945e-01,2.703e-01
1681754400,1.523e+01,7.501e+00,4.117e-01,2.027e-01
1681755000,2.720e+01,6.501e+00,7.352e-01,1.757e-01
1681755600,2.443e+01,2.000e+00,6.602e-01,2.705e-02
1681756200,1.744e+01,1.150e+01,4.713e-01,3.109e-01
1681756800,1.974e+01,5.001e+00,5.336e-01,1.352e-01
